target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
player,SAFARI,*,sample.flv,*,*,300,98.5,0.8975274678557502,100.0,100.0,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,96.66666666666667,98.33333333333333,98.33333333333333,98.33333333333333
player,FIREFOX,*,sample.flv,*,*,1200,72.91666666666666,2.946278254943946,80.0,70.41666666666667,72.5,70.83333333333334,73.33333333333333,71.25,70.83333333333334,70.83333333333334,72.5,76.66666666666667
player,CHROME,*,sample.flv,*,*,1200,84.41666666666667,1.6158932858054433,85.0,83.75,83.75,84.16666666666667,82.08333333333333,84.16666666666667,83.75,88.75,84.16666666666667,84.58333333333333
player,EDGE,*,sample.flv,*,*,900,88.66666666666666,2.006163342807531,90.55555555555556,88.33333333333333,88.33333333333333,90.55555555555556,85.55555555555556,88.88888888888889,89.44444444444444,91.66666666666666,88.33333333333333,85.0
player,SAFARI,*,sample.3gp,*,*,300,98.50000000000001,1.1666666666666656,96.66666666666667,100.0,96.66666666666667,98.33333333333333,98.33333333333333,98.33333333333333,100.0,98.33333333333333,100.0,98.33333333333333
player,FIREFOX,*,sample.3gp,*,*,1200,71.45833333333334,3.017598843083318,70.83333333333334,74.58333333333333,76.66666666666667,75.41666666666667,67.5,70.41666666666667,71.66666666666667,67.5,70.83333333333334,69.16666666666667
player,CHROME,*,sample.3gp,*,*,1200,86.45833333333333,2.2067604461442274,85.0,85.41666666666666,87.5,83.75,85.83333333333333,89.16666666666667,88.33333333333333,85.83333333333333,90.41666666666667,83.33333333333334
player,EDGE,*,sample.3gp,*,*,900,83.61111111111111,2.3733343736993135,84.44444444444444,78.88888888888889,85.55555555555556,80.55555555555556,85.0,83.33333333333334,82.77777777777777,87.77777777777777,83.88888888888889,83.88888888888889
browser,*,MPLAYER,sample.3gp,*,*,1200,99.54166666666666,0.393082547169024,99.16666666666667,99.58333333333333,99.58333333333333,99.58333333333333,100.0,98.75,100.0,99.16666666666667,100.0,99.58333333333333
browser,*,MPV,sample.3gp,*,*,1200,99.20833333333333,0.4732423621500224,99.16666666666667,98.75,99.58333333333333,98.75,99.58333333333333,100.0,99.16666666666667,99.58333333333333,99.16666666666667,98.33333333333333
browser,*,VLC,sample.3gp,*,*,1200,99.54166666666666,0.435012771204606,100.0,100.0,100.0,99.58333333333333,99.58333333333333,99.58333333333333,99.58333333333333,98.75,98.75,99.58333333333333
browser,*,MPLAYER,sample.flv,*,*,1200,99.375,0.5017331074496783,99.58333333333333,98.75,100.0,100.0,99.58333333333333,98.75,99.16666666666667,99.16666666666667,100.0,98.75
browser,*,MPV,sample.flv,*,*,1200,99.41666666666666,0.27638539919628,99.16666666666667,99.16666666666667,99.58333333333333,99.58333333333333,99.16666666666667,99.58333333333333,99.58333333333333,100.0,99.16666666666667,99.16666666666667
browser,*,VLC,sample.flv,*,*,1200,99.625,0.2243818669639373,99.58333333333333,99.58333333333333,100.0,99.58333333333333,99.58333333333333,99.58333333333333,99.16666666666667,99.58333333333333,99.58333333333333,100.0
browser,*,MPLAYER,sample.mkv,*,*,1200,99.5,0.4487637339278746,98.75,100.0,100.0,98.75,99.58333333333333,99.58333333333333,99.16666666666667,99.58333333333333,99.58333333333333,100.0
browser,*,MPV,sample.mkv,*,*,1200,99.33333333333334,0.3818813079129848,99.16666666666667,99.16666666666667,98.75,100.0,99.16666666666667,99.58333333333333,99.58333333333333,99.58333333333333,98.75,99.58333333333333
browser,*,VLC,sample.mkv,*,*,1200,99.0,0.5335936864527376,98.75,98.33333333333333,100.0,98.75,99.58333333333333,99.16666666666667,98.33333333333333,98.75,99.58333333333333,98.75
browser,*,MPLAYER,sample.mp4,*,*,1200,98.41666666666666,0.7168604389202188,97.5,97.5,98.33333333333333,98.33333333333333,99.58333333333333,99.58333333333333,98.75,97.91666666666666,98.75,97.91666666666666
browser,*,MPV,sample.mp4,*,*,1200,99.125,0.43501277120460674,98.33333333333333,99.16666666666667,99.16666666666667,99.58333333333333,99.16666666666667,99.16666666666667,98.33333333333333,99.58333333333333,99.16666666666667,99.58333333333333
browser,*,VLC,sample.mp4,*,*,1200,99.20833333333333,0.34610932762158575,99.16666666666667,99.58333333333333,98.33333333333333,99.58333333333333,99.58333333333333,99.16666666666667,99.16666666666667,99.16666666666667,99.16666666666667,99.16666666666667
player,CHROME,*,sample.3gp,*,*,1200,85.70833333333334,1.6981403226929033,86.66666666666667,85.0,85.83333333333333,87.5,89.16666666666667,85.83333333333333,82.91666666666667,83.75,85.41666666666666,85.0
player,EDGE,*,sample.3gp,*,*,900,85.72222222222223,1.16666666666667,83.88888888888889,83.88888888888889,86.66666666666667,85.0,86.66666666666667,85.0,85.55555555555556,86.66666666666667,87.22222222222223,86.66666666666667
player,FIREFOX,*,sample.3gp,*,*,1200,69.70833333333333,3.3698520409326247,70.0,73.75,65.83333333333333,64.58333333333334,72.91666666666666,69.58333333333333,75.41666666666667,67.91666666666667,70.41666666666667,66.66666666666666
player,SAFARI,*,sample.3gp,*,*,300,98.0,1.4529663145135563,98.33333333333333,96.66666666666667,100.0,98.33333333333333,95.0,96.66666666666667,100.0,98.33333333333333,98.33333333333333,98.33333333333333
player,CHROME,*,sample.flv,*,*,1200,82.25,2.2760833806246112,80.0,86.25,82.91666666666667,81.66666666666667,77.5,82.08333333333333,83.75,84.16666666666667,81.25,82.91666666666667
player,EDGE,*,sample.flv,*,*,900,87.44444444444444,3.0751894451328963,90.55555555555556,86.66666666666667,83.33333333333334,87.77777777777777,91.11111111111111,83.33333333333334,87.22222222222223,90.0,83.33333333333334,91.11111111111111
player,FIREFOX,*,sample.flv,*,*,1200,72.75,2.051422270848528,77.08333333333334,73.75,72.5,74.58333333333333,71.66666666666667,72.91666666666666,73.75,70.41666666666667,70.83333333333334,70.0
player,SAFARI,*,sample.flv,*,*,300,98.16666666666667,2.0344259359556163,100.0,100.0,98.33333333333333,96.66666666666667,100.0,96.66666666666667,100.0,95.0,95.0,100.0
player,CHROME,*,sample.mkv,*,*,1200,85.0,2.9639032072964557,88.33333333333333,87.91666666666667,81.25,84.16666666666667,83.75,82.5,91.25,83.75,84.16666666666667,82.91666666666667
